Year_of_study,Field_of_study,Ever_used_platform,Time_investing,Main_platform_type,Confidence_in_terms,Return_in_30_years,Purchasing_power_q,Single_stock_risk_q,Risk_Reward,Inflation_time_value_q,Diversification_purpose_q,Inflation_rate_q,Knowledge_improved,Confidence_interpreting_data,Features_used_most,Regretted_misinterpretation,Frequency_based_on_app_data,Greater_influence,Apps_oversimplify,Likely_to_use_new_features,Data_viz_helps
3rd year,Business / Economics,Yes,Less than 6 months,Trading app,Very confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Very confident,Stock performance charts,No,Sometimes,Data and analytics,Strongly disagree,Likely,Strongly agree
2nd year,Engineering/ Science,Yes,1-2 years,Robo-advisor,Confident,Not Sure,It decreases,More risky than investing in a diversified fund,Not sure,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Confident,Portfolio analytics,No,Rarely,Advice from others,Strongly agree,Neutral,Neutral
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Capital (Your Investment),It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Confident,Portfolio analytics,Yes,Sometimes,Personal decisions,Strongly agree,Very unlikely,Agree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Confident,Capital (Your Investment),It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Very confident,Other,No,Rarely,Data and analytics,Disagree,Likely,Agree
3rd year,Engineering/ Science,Yes,1-2 years,Robo-advisor,Confident,Capital (Your Investment),It decreases,Not sure,Higher risk generally leads to higher potential reward,£100 today,To minimize fees and expenses,Exactly 10% interest,Significantly,Somewhat confident,Stock performance charts,No,Rarely,Social media trends,Agree,Likely,Neutral
3rd year,Business / Economics,Yes,6-12 months,Trading app,Very confident,Not Sure,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Somewhat confident,AI or data insights,Not sure,Sometimes,Personal decisions,Strongly disagree,Very unlikely,Strongly agree
1st year,Business / Economics,Yes,1-2 years,Robo-advisor,Very confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Confident,Portfolio analytics,No,Often,Data and analytics,Strongly disagree,Likely,Agree
2nd year,Other,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Confident,Stock performance charts,No,Never,Personal decisions,Agree,Unlikely,Agree
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Not Sure,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,Not sure,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,Yes,Never,Advice from others,Strongly agree,Very likely,Neutral
3rd year,Humanities / Arts,Yes,Over 2 years,Robo-advisor,Somewhat confident,Compound interest/growth,It stays the same,As risky,Risk and reward are not related,£110 in one year,To minimize fees and expenses,Exactly 0% interest,Significantly,Very confident,Portfolio analytics,Yes,Sometimes,Social media trends,Strongly disagree,Neutral,Disagree
